keyword,category,search_volume,cpc,competition,vol_12mo_avg,vol_12mo_min,vol_12mo_max
death binder,inventory-wall,590,1.66,HIGH,540.0,320,880
in case of death binder,inventory-wall,480,1.8,HIGH,521.7,320,880
in case of death folder,inventory-wall,30,0.96,HIGH,29.2,10,90
in case i die binder,inventory-wall,720,1.15,HIGH,678.3,170,1900
emergency binder,inventory-wall,480,0.54,HIGH,503.3,390,880
emergency binder template,inventory-wall,110,0.64,HIGH,108.3,70,210
legacy binder,inventory-wall,140,1.32,HIGH,146.7,90,260
when i die folder,inventory-wall,210,0.68,HIGH,214.2,20,590
when i die binder,inventory-wall,110,1.45,HIGH,105.0,30,260
important documents organizer,inventory-wall,320,1.54,HIGH,310.0,210,480
important documents organizer for family,inventory-wall,,,,,,
estate organizer,inventory-wall,140,2.78,HIGH,135.0,110,170
estate organizer binder,inventory-wall,20,2.38,HIGH,20.8,10,40
digital estate planning,inventory-wall,390,8.83,LOW,386.7,320,590
digital estate planning tool,inventory-wall,,,,,,
what happens to my accounts when i die,inventory-wall,,,,,,
what happens to my accounts when i die checklist,inventory-wall,,,,,,
family emergency plan documents,inventory-wall,,,,,,
family emergency binder printable,inventory-wall,,,,,,
end of life organizer,inventory-wall,170,1.89,HIGH,162.5,110,320
end of life binder,inventory-wall,140,0.96,HIGH,145.8,110,260
end of life planning binder,inventory-wall,30,1.25,HIGH,24.2,10,70
life documents organizer,inventory-wall,20,1.33,HIGH,21.7,10,40
personal records organizer,inventory-wall,10,0.77,HIGH,10.8,10,20
household binder for emergencies,inventory-wall,,,,,,
in case of emergency binder printable,inventory-wall,,,,,,
if i die binder template,inventory-wall,30,0.24,HIGH,25.0,10,50
estate planning binder printable,inventory-wall,,,,,,
important papers checklist for family,inventory-wall,,,,,,
where to keep important documents for family,inventory-wall,,,,,,
document organizer for death,inventory-wall,20,2.15,HIGH,16.7,10,70
checklist of documents needed when someone dies,inventory-wall,,,,,,
family information organizer,inventory-wall,10,,HIGH,10.0,10,10
grab and go binder emergency,inventory-wall,,,,,,
death file organizer,inventory-wall,,,,,,
personal affairs organizer,inventory-wall,10,1.87,HIGH,10.8,10,20
life admin binder,inventory-wall,,,,,,
final wishes document,inventory-wall,320,1.7,MEDIUM,306.7,210,480
final wishes planner,inventory-wall,320,1.37,HIGH,284.2,210,390
final wishes organizer,inventory-wall,210,1.35,HIGH,241.7,170,320
letter of instruction after death,inventory-wall,10,,LOW,13.3,0,30
letter of instruction template,inventory-wall,880,6.89,LOW,840.0,720,880
nokbox,inventory-wall,14800,1.24,HIGH,14183.3,9900,22200
nokbox reviews,inventory-wall,3600,1.9,HIGH,3650.0,2400,5400
nokbox alternative,inventory-wall,390,2.23,HIGH,367.5,170,590
peace of mind planner,inventory-wall,210,0.38,HIGH,232.5,170,320
peace of mind planner reviews,inventory-wall,,,,,,
everplans reviews,competitor-brands,110,7.35,LOW,108.3,70,140
getting your affairs in order binder,inventory-wall,,,,,,
affairs in order binder template,inventory-wall,,,,,,
in case of emergency folder for family,inventory-wall,,,,,,
death preparedness checklist,inventory-wall,10,,,2.5,0,10
organize documents before you die,inventory-wall,,,,,,
app to organize documents for family after death,inventory-wall,,,,,,
app for storing important documents family emergency,inventory-wall,,,,,,
where to store estate documents,inventory-wall,,,,,,
family vault important documents,inventory-wall,,,,,,
digital vault for documents,inventory-wall,40,8.86,MEDIUM,34.2,10,110
digital vault estate planning,inventory-wall,20,5.3,MEDIUM,21.7,10,30
app to store passwords and documents for family,inventory-wall,,,,,,
family emergency information sheet,inventory-wall,,,,,,
in case of emergency contact sheet,inventory-wall,10,,,7.5,0,10
important information sheet for family,inventory-wall,,,,,,
what my family needs to know when i die,inventory-wall,40,2.69,HIGH,39.2,20,50
list of accounts for family after death,inventory-wall,,,,,,
list of passwords for family after death,inventory-wall,,,,,,
checklist of things to do before you die,inventory-wall,110,,LOW,115.8,90,140
financial organizer for family,inventory-wall,,,,,,
life planning binder,inventory-wall,20,0.42,HIGH,14.2,10,30
personal record keeper,inventory-wall,10,3.88,MEDIUM,10.0,10,10
household inventory for emergencies,inventory-wall,,,,,,
estate planning checklist for family,inventory-wall,,,,,,
document locator system,inventory-wall,,,,,,
records organizer app,inventory-wall,,,,,,
life documents checklist,inventory-wall,,,,,,
who gets my stuff when i die planner,inventory-wall,,,,,,
planning ahead binder,inventory-wall,,,,,,
just in case binder,inventory-wall,90,1.03,HIGH,91.7,70,170
just in case planner,inventory-wall,10,0.68,HIGH,13.3,10,50
family preparedness binder,inventory-wall,,,,,,
critical information binder,inventory-wall,,,,,,
vital documents checklist,inventory-wall,10,,LOW,9.2,0,10
where do i keep my will and important papers,inventory-wall,,,,,,
app to organize will and documents,inventory-wall,,,,,,
software to organize estate documents,inventory-wall,,,,,,
estate planning app,inventory-wall,70,5.64,MEDIUM,68.3,50,90
estate planning app reviews,inventory-wall,,,,,,
app for end of life planning,inventory-wall,,,,,,
app to plan for death,inventory-wall,,,,,,
digital binder for family emergencies,inventory-wall,,,,,,
cloud storage for important documents family,inventory-wall,,,,,,
apple legacy contact,digital-legacy,1300,,LOW,1425.0,1000,1600
apple legacy contact setup,digital-legacy,10,,LOW,10.0,10,10
how to set up apple legacy contact,digital-legacy,40,,LOW,35.0,20,50
google inactive account manager,digital-legacy,590,,LOW,625.8,480,720
google inactive account manager setup,digital-legacy,,,,,,
facebook memorialize account,digital-legacy,880,1.88,LOW,916.7,720,1000
how to memorialize a facebook account,digital-legacy,2400,0.7,LOW,2233.3,1900,2900
facebook legacy contact,digital-legacy,390,,LOW,427.5,390,480
digital legacy,digital-legacy,320,4.3,LOW,319.2,260,480
digital legacy planning,digital-legacy,90,14.66,LOW,80.0,50,110
what is digital legacy,digital-legacy,40,,LOW,42.5,20,70
password manager emergency access,digital-legacy,10,,LOW,10.0,10,10
1password emergency kit,digital-legacy,480,,LOW,475.8,390,590
1password emergency access,digital-legacy,70,,LOW,60.8,40,90
lastpass emergency access,digital-legacy,90,0.96,LOW,89.2,70,140
bitwarden emergency access,digital-legacy,170,,LOW,177.5,140,210
what happens to email when you die,digital-legacy,10,,LOW,10.0,10,10
what happens to gmail account when you die,digital-legacy,10,,LOW,3.3,0,10
delete deceased social media,digital-legacy,,,,,,
how to delete a deceased person's facebook,digital-legacy,10,,LOW,10.0,10,10
how to close a deceased person's instagram,digital-legacy,,,,,,
how to close deceased person's email account,digital-legacy,,,,,,
how to access a deceased person's phone,digital-legacy,10,,LOW,10.8,10,20
how to access deceased person's icloud,digital-legacy,,,,,,
who inherits digital assets after death,digital-legacy,,,,,,
digital assets after death,digital-legacy,10,,LOW,10.0,10,10
